bike_id,WINTER,SPRING,SUMMER,FALL
19906,787592,2387259,3085943,1796591
20210,562067,2076932,3217182,1875698
27035,488020,906958,1809381,1100454
30335,593941,1314293,1772785,867226
17391,1584169,2046656,3343154,2585971
43686,26999,784248,602195,740127
18915,935166,2268666,2611379,2540372
16286,778794,1992059,4190863,2268013
18331,885596,2042340,2561918,2132481
19534,735301,2374432,2749030,1945495
20254,827835,2258422,2495537,1834956
28924,493517,1296478,2856696,554868
29703,343626,1680614,2398944,1016056
31332,513994,1043078,1194001,1071886
21158,902210,2039587,2946734,1868017
29945,644442,1138177,2126897,1138326
31670,539547,962965,2357186,1299196
26069,898227,1111864,2581761,1326684
27831,325910,1273593,1765930,891562
19701,709812,1890654,3098542,1894992
27241,607267,780922,1334984,987117
15018,719121,2025448,3349091,3617473
25363,441004,1167646,2610192,1670203
28504,439500,1362337,1863372,811298
20731,793534,1798879,3028005,1747724
21382,1051815,2510318,2520359,1801459
28420,803211,1973808,1999647,886328
34163,782318,1196769,3242345,1376342
20973,778387,4125491,1821549,1281480
30574,520369,1011486,1702128,1116555
28472,238323,1089383,1411738,799294
22397,,466534,1216270,444360
19434,790808,2243445,2410079,1748854
18613,619244,3415203,3125987,1989554
21507,793487,2290561,2295447,1649478
39913,377874,797938,1592920,638518
18524,986065,2160905,2975928,2121227
16068,875829,2819109,2873361,2583888
23308,,403266,988175,758145
21171,947374,2116625,1837119,2185894
19683,826602,2082875,3150071,1895588
18824,929730,2245615,3808831,2132953
28691,403252,1707613,1760196,432539
24958,553129,1583812,2991414,1309946
18139,629634,1551593,2865487,1989470
16360,718877,2134196,2910995,2118880
28354,354507,1294643,1772144,669761
16687,857074,2774331,2928690,2205175
41235,359053,739631,616407,720027
44004,98872,314910,1754470,307337
21007,862096,2278302,2907378,1257957
21011,726698,3238727,2311630,1800316
23320,407979,253375,333645,1083195
17479,1090613,2444523,2809884,1728889
24043,468712,65874,267064,1080662
16720,1424558,2064500,2682246,1658753
34351,811153,1418591,3444051,1086842
20179,691379,2185578,2830141,1641560
29976,362440,1074259,1982793,534091
38902,304763,449497,1760571,726779
32572,551996,1348753,1744645,1185721
31633,409901,1321638,410241,705551
26031,697973,1110074,2125300,1072362
31006,457399,1173464,2332854,1401041
21517,638187,2646494,1877299,6913260
32603,623645,1549347,712292,1190966
26850,439761,1222303,1797230,1149997
25497,724034,920881,2243834,1282094
31226,666572,2175756,3692833,687503
32151,544255,778987,1384184,1221578
29723,,744482,1308859,433934
32078,431786,1033576,916247,1023759
28204,412520,1735601,2533088,916670
24919,542667,1922987,2808673,1247416
18648,660172,2612958,3461614,2172868
17121,704476,1742187,2775238,1724144
25811,624421,1191249,2777004,2259785
18368,566569,3146601,4789547,1414930
27952,1009139,1579121,1490567,3246636
27907,1305696,1585129,1548189,1521313
17857,625676,1523584,2738058,1694728
16577,1322108,2410661,6343916,2381349
14876,786408,2495215,3313949,1858748
27623,479530,2117254,1436589,844027
30332,575318,1239542,1546127,606955
26746,452009,1211834,1979829,2081762
30923,497047,1297563,1810302,1353756
40283,346980,497262,601903,651001
15016,669882,2527986,3286043,1693497
23459,25298,977494,1363854,861506
30443,692562,1338165,1964522,1547739
14655,980960,2155341,2437117,2704907
17323,674988,2095528,3345804,1784508
40733,442902,458709,721969,600318
27619,369731,1380612,1578585,590928
31019,680766,2570001,1880749,1672397
14879,885861,2015167,3243546,1673582
27364,711307,1567844,1525892,881040
40478,434306,505179,1159990,810848
25693,462934,1484299,2335075,1110378
28144,433222,1782926,1889832,614139
34332,684466,1146819,2088661,1216913
19455,937724,2146112,3288473,1918843
21577,636916,2308572,3607328,5091339
30204,586823,1593507,2382206,921438
14907,485255,1869407,3000141,1282154
22030,391080,487475,1157051,922018
37718,140334,340081,149387,758155
26414,629171,1170146,2512871,2110134
31223,396127,666083,1290104,2155316
32380,325313,572846,528329,656276
30415,495212,1078133,1781693,1399920
30626,716085,1064742,1111669,1193302
19425,753781,1806507,2544276,1820730
25347,207955,967419,1333744,721972
15961,604502,2070145,4084486,1813420
26386,883884,1590642,1390264,1010171
30645,548919,1195055,2018772,1327735
21455,639394,2458520,2736027,1586725
29430,641960,1745143,2127702,978406
28396,1852456,1320255,1879962,534351
15310,1212471,2420904,3437119,1734622
16761,1151790,2406360,3525348,1785253
35246,610992,1103280,1036345,1156359
26570,557893,893895,1230718,1153669
17956,615947,2063076,2378342,2024291
19946,929969,2830088,3311107,1958141
17637,896337,2445689,3209262,1704541
36029,381757,276631,436558,874290
33317,552011,1257752,1486027,1105621
17868,697166,2394099,2901256,2006427
31164,640740,1733477,2053085,1048256
35194,750585,1079245,1111667,1026743
26347,254486,981630,1439807,637857
30208,566294,1409583,3474832,1307649
16835,1232583,3510225,2955881,2176882
28728,190760,1466664,6091180,343184
29186,523100,1860006,3709510,862251
33413,701501,1112684,1789957,870673
18519,1357907,2306572,2990288,1759577
39881,561293,481139,1543889,613528
31094,519094,1270382,1639998,1365634
26698,442415,1133890,1760412,1545647
20882,914311,2288249,2830816,1963528
38067,324061,466182,1079777,647871
31058,490494,1046312,1525346,961838
23741,239870,707560,1276165,746956
16719,822930,2195124,2618538,2726848
28545,151422,1126657,1622692,610032
31990,509490,1036740,1393679,909155
30012,524273,2069237,2387451,1179746
34231,587198,1101889,2073241,942366
16028,426450,1629768,1967515,1740637
37002,21130,527967,983611,
43724,,669142,723807,337442
30053,478340,1406770,2225712,931369
15745,648934,2370189,3655474,1724939
26890,610376,1122755,1952272,1053836
20032,1105867,2411681,3051453,1658974
14798,685893,2481459,3460048,2959126
17257,1020969,2665780,2970887,2099195
42562,95674,55007,751035,474763
39659,453741,565767,1037333,500007
21578,717177,2202122,2868367,1762126
28024,360451,1359643,1601176,959982
30039,536998,1300354,2282306,1318080
25323,522157,1597912,3051614,1671836
24813,465442,1503545,2484831,1411289
30386,548535,1094746,1115993,1001129
22026,365012,649322,1001052,943916
30617,674294,1128556,1470357,1172059
32002,822697,1484962,362814,818080
28620,333336,1212248,1393545,794035
22242,166487,553671,1368399,857281
32047,510134,1049822,1378388,937695
38811,361935,420420,1411009,855630
15346,880024,2013095,2532800,1463700
18777,1094956,2087609,3192125,2085574
18599,689586,2394032,3672684,2207004
25749,451454,1170723,2831217,1218245
20211,648770,2439325,3962983,1830121
44290,94943,31220,660140,270516
14572,1029364,2830267,2412392,1361783
28371,265265,1506177,2618107,408661
36802,205345,278980,506267,783380
43485,367002,524622,827182,373933
28405,645659,2094629,2632166,947599
18108,1115929,2547542,2846517,1910417
38691,332768,549313,1645081,644519
18977,955152,2190583,3500997,1459964
14883,807972,2044584,3785540,2128438
30496,618153,1129908,1806631,1358565
18228,626409,1683900,1929355,1552898
35195,801715,1351873,927709,704329
40988,304869,464114,843346,575583
29365,477205,1651580,1707024,908931
17745,789568,1846537,2714434,1380430
30047,428981,1292711,1984252,1117513
30384,583502,1201717,1991461,1414900
15030,654592,2314891,3405688,1457683
40836,292470,543509,994586,952424
14977,1052586,2203910,2941820,2113968
30542,469901,1231615,1055034,967707
40870,299228,489615,2646045,646754
41500,355685,400092,826213,853226
16441,710698,2331176,2509663,1569068
30569,595797,1371002,1167497,809107
18162,794767,2701120,3051128,2250554
29745,184584,936910,1570533,394305
41016,407178,574505,589140,776827
27769,433866,1272912,2132172,1365789
42426,23740,224760,773536,370687
32050,673222,1251253,1530712,1519733
33151,645051,1261070,1511550,1038460
26353,959516,1514112,1484998,713556
14865,2385469,2350600,3041906,2224955
32517,904811,1199235,1548136,1480925
37401,598055,925258,126025,
39038,406288,442786,1549269,870460
24773,410833,620564,2384,425497
21338,634373,2067728,2833978,1791094
41492,360882,438041,864915,562763
37531,138070,178509,187073,823984
38045,309925,342741,1102745,441296
27795,440805,1873268,2017183,776226
33176,336197,970799,1006935,1143842
24923,429096,2212143,2161749,1233737
28994,419552,1542102,1961971,887476
14587,570924,1580701,2140602,1305372
39480,356606,531229,1287581,701474
20586,664622,1917310,3314500,1604287
16660,842972,2130662,2367409,1768693
33224,582973,989190,1412739,1078485
43162,121540,500509,772197,455475
30298,649096,1626107,975417,709844
38703,329922,253314,2393153,543274
40463,438171,533574,699254,803941
26835,577766,1508709,1387078,1269111
39025,282673,420477,1032346,452963
33907,679208,1028803,1785304,1069511
41264,336670,433100,197722,408679
36690,426732,255248,266351,901121
39466,385826,592554,1222548,518917
30601,589168,1157554,1521517,1514988
36642,58845,471085,1573915,123774
15134,1211379,2656845,3145450,1733246
15888,683642,1826801,3222536,2035637
22640,233003,398450,1061112,911205
42921,61525,541663,851778,298921
30647,558389,1402902,1804286,1681323
43409,48935,518565,691306,373299
27379,594707,1366370,1771787,979976
25251,392541,2671596,1980921,1162370
25631,436545,944628,2466147,1008574
30786,429487,1031052,1281660,1053606
25596,445803,1391159,2553641,1263077
37040,349443,909698,1518842,1290134
17036,728663,2087796,2059558,1446181
26526,688354,893776,1371948,928758
26642,353034,1019842,2010346,1540118
20518,701755,2451931,3028908,2416622
25884,721847,1181080,1603839,807555
15648,953145,2887408,3250715,1944779
15553,795089,2158982,3538519,2421194
20158,848641,2378130,3180294,2563415
23948,179454,454787,763151,1194965
19612,703781,2328123,2910127,3554362
32144,554319,1390244,1073715,1362565
28814,455351,1138274,2171909,675204
27857,341094,6151442,1384150,643205
34922,387560,838426,206955,818012
21580,684924,4565400,1899371,1653436
39949,399922,986357,1279053,704077
41809,383397,369539,920103,881274
16420,683055,2401381,2476594,1431472
14578,889024,2394263,3800361,2297467
34694,1166028,215235,555091,2285371
35106,698925,2458907,1518125,1094575
20587,569196,2501150,6537779,1913508
27713,377381,1187132,2084684,549925
39928,414362,484618,1693905,738035
32853,515371,678389,1492339,644875
41497,410152,509140,429370,584918
17467,901760,1929525,3223432,1859798
32693,480348,3091080,1743133,987691
21136,1074935,2483731,6598006,1748166
33063,691488,1178125,949783,759362
25551,468634,1289057,3293583,1609586
15027,786738,2416132,3645196,2136089
15130,940032,2597448,3731804,1954148
30284,728650,2163184,1704490,762247
43923,,279266,112611,
37748,,278324,683071,
28827,364132,971767,1652477,645046
16208,484832,1556306,2904862,1818696
33113,539671,1173629,1333384,803454
21546,656546,2469397,2591751,1584818
36553,285971,907263,1144309,879487
29737,634243,1493438,2449788,1528775
21710,680559,1422648,2218884,1338995
15312,776798,1701629,3935866,1737679
41855,414903,406627,1372546,628069
41544,375058,298001,735054,757485
20585,862168,1846679,2975055,1908100
33381,640901,1053364,1304496,776578
37334,594939,896532,1153108,864837
44195,106715,54623,972454,261924
20967,673092,2179024,3023251,1503687
15833,471490,1588215,2573792,1213053
30429,499146,549986,903109,1039169
43451,56341,566830,708465,929155
25325,516500,1659306,3599643,1427011
17888,893114,2208432,3200878,2465420
39935,369019,439709,1401059,1043877
39358,374426,456069,1058090,393011
30358,664575,1360732,849244,975360
25842,519305,956262,2518160,1233431
29730,329798,2863511,2081062,770294
31432,2740626,813847,902729,1481127
41849,314940,522627,806473,674163
42677,106098,468940,565855,317096
21216,902172,2177168,2811125,1710600
15890,864054,2696902,3513477,2077655
25243,347819,1333360,2293726,1279090
41377,355471,530579,734259,899795
29335,429712,1586698,1355553,408049
34129,941406,1185142,2021469,1420100
21214,779815,1989850,3659127,1724084
30057,603720,2080593,2764371,1184939
29884,437819,1171347,2775976,1484416
35389,765632,1339133,1380141,1212782
25729,428677,1133084,2407474,1213206
19062,837994,2208293,3396415,2145636
39959,513252,511508,1273593,632385
17548,1083342,2672716,6144783,6631939
15639,589692,1192456,1925990,1580353
32302,329134,1657705,1635722,1233745
39291,263984,328507,771179,427446
26059,472497,1325743,1780881,939821
28510,561883,1460052,2283617,576295
43330,78104,680543,852617,419047
26672,625852,1012910,2208213,2013768
41927,383046,449136,706211,455659
39414,279230,402658,1030428,536176
32328,653374,1410050,928997,954442
27384,569907,1483149,1262096,1031164
43591,53284,631130,703554,418180
28426,294788,1544396,2483172,4051991
42957,108057,415365,746628,355059
39549,330907,445992,1162101,711221
35125,596964,1388296,1323152,974419
31362,804784,1295822,2392242,1580428
40452,376351,467563,716004,611952
36712,61318,296854,363792,685808
15224,690592,2324389,3347969,1889689
21518,675129,3661274,2943084,2352197
31243,635695,1260326,1574900,932999
38458,418424,435151,1716819,1071066
16568,1087359,1953121,2594773,1681250
38332,183614,144259,973603,375396
31410,614639,1227236,1402994,1124960
39298,346129,419507,1253537,739948
16454,871555,1994549,4153019,2254089
18118,1016310,2458780,3801119,2086046
32159,609516,1067552,1036010,1025981
30368,3191283,943058,2414863,1724598
43998,33099,193845,866009,412114
36633,1284520,136342,834652,906872
39638,327996,433327,1317389,673339
40371,351441,340833,1781600,733769
32418,685981,1563113,2088682,876945
44107,56978,201453,726238,344316
40838,455672,446888,620153,694670
16451,682821,1898945,3854304,2027754
38754,316616,526968,1549059,731335
44051,85035,217835,591455,484350
26937,549811,1115599,2732240,1521616
17528,666390,2292371,2104262,1935613
29167,563284,1448019,1822894,1312762
27905,505067,1227367,1447032,565306
24990,426612,1006736,1509190,734748
41380,386727,518902,1002614,875261
32103,647758,1733576,1201576,1311878
35175,590496,1128047,1540771,1165928
37432,226388,190900,534527,912675
29038,597375,1395711,1970919,1087475
21966,390276,482054,1080671,983670
41431,313463,515570,1555165,734464
33911,573720,1056723,1699252,1375690
21030,736928,2250837,2039830,1060047
34041,831504,1127553,1168571,1546166
43701,51782,525805,603935,576815
20858,1111999,2703467,2582327,1674345
27553,416523,2004319,2005754,680103
40774,428126,400713,589651,658269
41699,342197,303218,42965,458006
36616,219616,783250,1410814,837899
32980,600831,1118836,1445483,1025936
21137,817458,2709224,3049592,1947888
15186,883650,1787785,3501996,1971334
35217,311414,749906,664121,857449
34112,631833,314612,1594570,1532229
33203,576191,1141281,1789433,645072
38448,497965,458656,1636769,800350
32751,256238,584611,699938,455770
26824,283588,741097,1783518,1085003
26810,424615,1145123,1431537,1366161
40450,371508,499589,575922,543952
39741,463454,550721,1604016,873939
18245,1273374,2836671,2859395,1593212
40638,471194,420342,1440696,849071
34313,683562,1252062,1933603,1390211
33396,516174,1102618,2349174,880471
26836,402185,677400,1472928,1225816
19484,1165001,2556039,4324452,2201910
36727,200597,224118,697093,854591
37661,329491,297174,940166,860084
21265,739024,2615731,3322480,1071569
19601,231807,420582,820892,458210
21101,151769,464789,3829,42246
18047,25114,685376,763274,389206
15204,969692,2055218,3434103,2206428
16395,663817,1752801,2363986,1525056
17191,1043833,2266636,3527507,1637631
15938,746061,1603358,4270490,1459598
19658,695352,5318860,3174384,1773941
19910,772581,2299381,3328692,2017991
16768,900636,1450794,2868530,1656902
15213,98085,275644,431629,293195
15295,103514,394962,792388,278668
17281,375791,396873,1193914,619284
19939,412542,983896,1112687,887912
16611,711655,2487791,3160205,2422246
18418,1080280,2226384,3377269,2817031
19441,780463,2114743,2263700,1462681
21460,632855,2649084,2734173,1409708
16783,664376,1814441,3248437,1584527
15652,802203,2355618,3645195,1567993
20106,646231,2058669,3249203,1996566
20306,657501,2280961,4052760,2217727
18660,1055186,2397750,3127344,2420799
18714,537179,2241358,2321756,1209070
18475,602970,2307234,2359141,1437691
20642,890692,2456595,3343130,2010598
19500,610450,2061438,3780903,2024542
16283,108536,373489,651374,357854
17582,633463,2156144,2616364,1387465
19533,105364,336654,979267,375190
21402,1596913,4689158,2296094,1821289
17168,819902,2350949,3197417,2058510
17631,603473,3137164,2364827,1369777
17135,960248,2623865,3324571,2102082
19674,32457,486036,678075,317168
14780,888162,2126056,2877297,1616931
16034,718538,2148394,2629192,1728981
17329,116004,437329,796318,749756
16091,945704,2159232,3439097,2499729
19044,131470,427124,307511,260597
18003,728349,2326173,2695589,2073547
17283,719628,2234908,2703946,1874639
14793,992818,1799494,2819643,1506055
16824,862797,2415831,3083032,2016269
19138,815019,1721550,3310411,2258847
19573,821365,2475640,2674431,2643149
21323,785210,2429292,2952091,1130533
16281,120324,309368,605809,219789
14765,959640,1813299,2336590,3281365
19709,925755,2560514,2880916,2240596
18117,762689,2510690,3660069,2021741
19827,801051,2028422,3045162,1574017
20183,775669,1651053,2071541,1300700
18421,616245,1351955,3117923,1617555
17768,788508,2524115,4933800,1939062
17420,732955,2179329,2970572,1849510
17644,643773,2301829,2996227,1969872
14772,1389210,2527439,3207932,1856262
14654,757458,2716565,2759403,1871286
19707,466428,1986531,2591033,1852570
19126,176539,812337,1133388,575748
19969,433460,1555563,2044705,1332175
19717,684203,2228947,2991266,1795912
16578,776036,2514608,4020357,1970409
16229,1216189,2632254,3494537,1847994
17828,699711,3300874,2839351,1996997
15633,79600,160326,570444,391006
15516,120745,195718,453214,426127
19398,738099,1973713,3361841,4290437
15579,,65404,503536,190915
20534,93925,519142,473649,228433
14594,758042,2037552,3018912,2017200
14965,747804,1649133,2573923,1915676
18856,836381,2502046,3800828,1685314
17943,1028912,3256514,2737905,1826262
21365,590004,3565549,2627689,1581707
16839,1319765,3084102,3128764,1866180
16906,858492,2000424,2959716,1494236
14628,772161,2052544,2974499,1602618
17503,710865,2844851,4604879,1699746
19741,849905,2150065,2176854,1776021
17951,619567,3407057,2827738,1626553
19405,607677,2636322,3960230,2059109
15173,1090078,1710917,2380997,1794054
18469,805152,2054836,2687330,1579409
16913,77611,341925,670523,362975
15558,906574,3077067,3496937,1803436
16338,854078,2212469,3368504,1739480
15932,730056,5943167,2672814,1839502
20734,695750,1558053,2141863,1390919
14616,741057,1826205,2492823,1715017
19207,826182,2411634,3008643,2362503
16009,527233,1265968,4755120,1391977
17367,844927,1840025,2858315,1511660
16358,198779,684494,655142,524264
19729,1096480,2314155,3200757,2014711
16642,572852,2722082,3002330,1546736
18433,1085110,2411479,3686805,2543489
14974,598540,2090906,3384813,2176816
21145,665759,2094542,3730907,1348729
20161,473416,1713919,2138615,1265661
16998,733645,2645601,4431698,2039736
15175,500681,1175917,2153763,1925766
16218,896151,2720253,3466328,2005930
18868,987791,2061353,3238905,1832530
18061,697479,3136414,3357484,2270368
21445,698428,1817116,2880050,1326794
18302,693509,1682029,2470026,1644150
16596,1023290,1646839,2947097,1807293
16814,881833,2212735,2754459,1712634
17572,1027271,2070542,4078580,1668576
19236,635696,1766072,2320740,1317845
14565,660324,1883415,1925301,1320340
20191,1018773,2217634,2749111,1809593
15582,629968,2001988,3941691,1863312
15316,515414,2718704,2976006,1158765
19284,704284,1994692,2883369,2017017
15947,954730,4390556,2892243,1560896
15753,822822,2857217,4179702,1633383
20196,683899,3860839,3233425,1599303
19193,883172,2101481,5396803,2352533
18100,775733,1798034,2980999,2025551
16226,908587,2741389,3740989,1710734
18359,115821,885061,610202,542023
21186,683203,2070865,2785490,1394135
16417,1252453,2848268,3663458,2072436
15551,,45442,550056,142504
18829,222946,568081,1618117,448154
19318,657577,2226016,2493824,1314712
15341,715333,1942634,2413967,2159548
19721,1278527,1860419,2899834,1791742
19396,1000886,2557348,3015960,1552509
16210,843059,1922615,2864954,1529178
18222,708952,4281673,2792521,1647877
16558,681847,2321808,2700888,2018260
21268,889919,2271171,2582449,1689050
16773,628112,1472900,5233545,1156693
16962,154233,841814,1167469,396259
17518,410606,2822822,1463478,1251897
15942,844152,2683164,2799927,1884189
19941,136175,381245,634747,323460
18096,1011753,2071634,2389578,2027160
15934,,109348,603580,270899
14840,171503,605130,632325,277253
19263,820766,1815795,2823839,1954198
16487,1194769,2229316,2798076,1891745
19389,773829,2434047,3259933,2147559
15046,248047,454536,828512,791820
17044,279704,549322,1055844,521877
21244,806137,2440212,2769240,1680803
19632,968949,2254481,3431641,1483390
16553,1170799,2395378,3868708,1818088
19884,653028,2140270,1889666,1512626
15161,663775,2347969,3208604,2100084
18902,251397,986841,1011437,655731
19347,724877,2459260,3616216,1799117
14860,666581,2504545,3134346,2697023
16179,649980,2511186,3270578,1982400
16497,1104679,1997174,4090167,1835242
15417,774380,2505625,2934594,1690418
20593,711599,2359565,2463659,1993322
17048,836869,2232719,3145327,1644927
17496,1028212,2495222,3088314,2213781
20033,46703,321990,490271,396259
16792,841891,2284064,3218245,1721984
17139,755342,6796455,3802101,1626325
16876,919434,2197505,5018141,2896191
19009,827996,1984602,2930893,1581008
18894,1656719,2064898,2923661,1461094
20117,840497,2631219,3877128,2134136
19700,321790,458027,1170084,625093
20297,144271,635781,1357895,586014
16990,810242,3647395,2631441,1868196
20199,608229,1806732,2486484,1458053
19975,689245,4028254,3267352,2009592
17662,86309,620321,586878,185264
15319,918759,4681197,2887433,1851190
17441,136668,442328,788095,244460
15212,1016427,2918292,2833506,1686089
20337,813546,2327426,2863426,1603287
15287,63891,480965,785075,41396
16931,356382,1255073,1575006,1213043
15358,1199917,2437765,3781935,1835024
19345,680838,1658764,2515911,1822582
14614,135704,300090,1011719,287889
17842,900212,1943877,2652685,1716945
15170,927582,3183946,3427298,2826181
17696,820537,1833679,2732501,1682236
20777,641583,2470317,2144760,952042
19633,922754,2185636,3072255,2656294
19139,787023,2380524,2827960,2133021
20544,573369,1501492,2394480,1789277
17618,80595,504891,684573,206464
17004,1041991,2451142,2917866,1907744
18423,77202,526420,1037263,475517
17382,284992,1327628,2353850,1037970
21004,728155,2268473,2235153,8265645
20550,444714,1596569,3739070,4470815
18864,555835,1380042,2266473,1532500
20240,792160,2171905,3135502,2089819
17274,592992,1412042,1883837,1213734
20216,893915,2553670,2978947,2157066
17353,855642,2188520,3143164,1888175
20522,583587,2264530,3006234,1834917
16209,835234,2437571,3236729,1890581
14963,961870,1923161,3168366,1998436
16718,116552,151313,513251,339850
18375,823830,2806205,3938554,2191742
16923,802993,2481501,3156750,2009750
19637,951762,2093664,2899700,1812418
16277,743160,2460947,3034993,2022552
20187,542419,2195965,2697194,1909836
16030,832905,2259363,3423813,2253515
15337,502081,2336860,3464023,1930248
14831,730823,2197824,2983769,2051290
14902,107835,317648,844850,367480
14799,813788,1827899,5043395,1442024
21601,1377043,2128730,3630782,1523185
19131,279810,416930,798568,439228
17313,830201,5113444,2689758,1435816
15555,858817,2712868,5378762,1841127
18999,65544,207146,897560,324945
19023,814149,2470190,2829908,1912792
19826,802130,2171866,3304765,2962037
18732,712472,1886526,2567011,1791430
19732,808598,2056181,2910092,2967408
16394,844607,2252705,3022959,2025968
17561,56885,392105,773516,444985
15481,577714,1613073,1659760,1295141
16415,567611,1301982,2280128,1468509
19724,600240,1760059,1818662,1379537
16767,731424,2239422,3091769,2620883
17341,654283,2490696,3085103,2871347
19444,642833,2128390,2858061,1876271
19652,114134,768379,1186912,606719
16736,789931,2408794,4027572,1707319
15872,948393,2508181,5164986,1912457
15626,648391,2182010,2809384,1918749
20523,945720,2575618,3442768,1730111
15935,603544,2295740,2573356,1554473
17090,456983,1026695,2863398,1086136
17610,778160,2240550,2687304,1427017
19000,644362,2701134,2182327,1761644
19027,820755,1751811,2855703,1870183
15055,1003997,2462285,2963311,1997829
15704,290795,787018,1285738,626070
18607,43198,444912,828040,468463
19137,248087,769209,1071382,543269
19780,683874,1815347,1852288,1532152
15727,920377,2131415,3145955,2097301
19835,922896,2232324,3282183,1793812
17843,220340,959077,1237070,1014332
20308,1348254,2044403,2670733,1729021
17801,624418,2168405,3954924,1338103
19506,685997,2208843,3476311,1749333
15254,745442,2457142,3060325,2427164
16625,531202,1656728,3318296,1251013
15192,296592,534347,950351,572328
19377,602099,1493406,2908167,1488991
20597,137218,376649,1103665,637439
21327,1074641,1914841,2232156,2174214
21075,806699,2547341,2203645,1327951
18503,727521,1968796,2568370,2188681
15721,799554,1769036,4132584,1766023
14978,884077,1591787,2724172,1376298
17013,932981,2505477,2753197,1733348
20612,356633,1147579,1913160,973163
17595,506770,2202704,2617709,1611978
21410,826674,3224900,2455971,1685134
17772,958150,2225756,2666136,1839834
18550,883978,2253564,2787457,1660622
16322,724659,1883909,2326839,1985790
18852,896406,2432191,2247653,1636904
18849,1009721,2681757,4992858,1755591
16809,750745,4313913,3205681,2385990
16648,856900,2197358,2929078,2093062
15939,710950,2249329,2682769,2080625
17061,956206,2474495,3739251,2174842
17799,574071,2099621,7525474,1659196
16667,796418,2395410,3635706,2235681
17681,1365283,2388953,2889322,1861312
17919,653394,1828560,2362201,1212060
18483,1113200,2762340,2765393,1877945
19693,106782,521961,724961,311211
16294,817363,2109314,2992449,1253203
20526,482337,1849327,2018585,1565509
21494,710891,3031277,3112549,1286414
15495,756693,3202639,4553038,1748120
15748,670599,2101756,2468770,1620547
15294,723826,3095192,3230666,2876414
16450,255555,620347,654946,630969
15044,959655,1880533,3526637,1744656
17554,415692,1602322,2148250,1650543
17301,664919,1326129,2373355,1258146
19291,745455,2333607,3289580,1935763
20754,490681,1401549,2692575,1291918
15199,92733,422356,613568,445846
19406,1143061,3067136,3370568,2369231
19699,1023316,2611255,2907698,2044272
17558,5340251,1740003,3213810,2067982
17436,660994,2192384,2950498,1986150
18681,955717,2072401,2933491,2050716
14575,739821,2740492,2884083,1443577
21672,874566,2530270,3347859,2171015
15692,1162093,2705990,2987684,1597268
16742,745456,2205393,3355001,1774797
17071,693415,2885764,3477819,1898151
14939,778103,2511488,3778747,2002777
18946,1393442,2663762,3388285,1785147
